case_id,account_id,contact_id,product_id,owner,priority,category,created_date,resolved_date,status
CASE00001,ACC0053,CON00102,P012,E0001,Medium,Warranty Claim,2025-01-01,2025-01-02,Resolved
CASE00002,ACC0018,CON00034,P007,E0051,Medium,Delivery Complaint,2025-10-23,2025-10-24,Resolved
CASE00003,ACC0017,CON00031,P002,E0170,Low,Billing Inquiry,2024-06-09,2024-06-12,Resolved
CASE00004,ACC0023,CON00045,P017,E0103,Low,Technical Support,2024-02-26,2024-03-10,Resolved
CASE00005,ACC0035,CON00068,P005,E0080,Medium,Product Defect,2025-02-04,2025-02-06,Resolved
CASE00006,ACC0070,CON00143,P013,E0046,Low,Technical Support,2024-07-17,2024-07-18,Resolved
CASE00007,ACC0066,CON00134,P005,E0103,Medium,Product Defect,2024-06-30,2024-07-16,Resolved
CASE00008,ACC0048,CON00094,P006,E0080,Medium,Product Defect,2025-03-29,2025-04-04,Resolved
CASE00009,ACC0039,CON00076,P005,E0064,Low,Product Defect,2024-04-10,2024-04-12,Resolved
CASE00010,ACC0010,CON00017,P015,E0016,High,Billing Inquiry,2025-11-12,2025-11-13,Resolved
CASE00011,ACC0048,CON00094,P010,E0103,High,Warranty Claim,2025-08-08,2025-08-12,Resolved
CASE00012,ACC0017,CON00033,P010,E0092,Low,Technical Support,2024-03-03,2024-03-16,Resolved
CASE00013,ACC0029,CON00059,P011,E0137,Low,Warranty Claim,2025-07-13,2025-07-18,Resolved
CASE00014,ACC0051,CON00099,P017,E0016,Medium,Product Defect,2025-04-04,2025-04-06,Resolved
CASE00015,ACC0004,CON00006,P006,E0046,Low,Billing Inquiry,2025-08-13,2025-08-15,Resolved
CASE00016,ACC0009,CON00015,P002,E0092,Medium,Technical Support,2025-07-20,2025-07-21,Resolved
CASE00017,ACC0064,CON00131,P006,E0069,Low,Technical Support,2024-06-20,2024-06-26,Resolved
CASE00018,ACC0031,CON00063,P004,E0107,High,Technical Support,2025-01-08,2025-01-12,Resolved
CASE00019,ACC0065,CON00132,P017,E0069,Low,Billing Inquiry,2024-12-01,2024-12-04,Resolved
CASE00020,ACC0036,CON00070,P007,E0051,Low,Warranty Claim,2025-06-30,2025-08-14,Resolved
CASE00021,ACC0009,CON00015,P007,E0001,Medium,Delivery Complaint,2025-06-13,2025-06-24,Resolved
CASE00022,ACC0026,CON00052,P004,E0080,Medium,Product Defect,2025-10-04,2025-10-09,Resolved
CASE00023,ACC0054,CON00106,P016,E0016,Medium,Technical Support,2025-02-21,2025-02-23,Resolved
CASE00024,ACC0054,CON00106,P015,E0107,High,Warranty Claim,2024-12-30,2024-12-31,Resolved
CASE00025,ACC0008,CON00014,P016,E0001,Critical,Product Defect,2025-01-10,2025-01-13,Resolved
CASE00026,ACC0038,CON00074,P002,E0064,High,Billing Inquiry,2025-08-03,2025-08-09,Resolved
CASE00027,ACC0058,CON00116,P014,E0064,Critical,Warranty Claim,2025-07-20,2025-07-29,Resolved
CASE00028,ACC0010,CON00017,P001,E0001,Medium,Technical Support,2024-02-10,2024-02-12,Resolved
CASE00029,ACC0044,CON00085,P007,E0137,Medium,Billing Inquiry,2025-03-31,2025-04-01,Resolved
