product_id,product_name,category,primary_line_id,capacity_ah,voltage,warranty_months,unit_price_irr,is_seasonal,seasonal_peak
P001,SLI 45Ah 12V Compact,Automotive SLI,L1,45,12,18,4200000,True,WinterColdSnap
P002,SLI 60Ah 12V Standard,Automotive SLI,L1,60,12,18,5100000,True,WinterColdSnap
P003,SLI 70Ah 12V Standard,Automotive SLI,L1,70,12,24,5900000,True,WinterColdSnap
P004,SLI 88Ah 12V Heavy Duty,Automotive SLI,L1,88,12,24,7400000,True,WinterColdSnap
P005,SLI 100Ah 12V Heavy Duty,Automotive SLI,L1,100,12,24,8600000,True,WinterColdSnap
P006,MC 5Ah 12V Compact,Motorcycle,L2,5,12,12,1450000,True,WinterColdSnap
P007,MC 9Ah 12V Standard,Motorcycle,L2,9,12,12,1950000,True,WinterColdSnap
P008,MC 12Ah 12V Standard,Motorcycle,L2,12,12,12,2350000,True,WinterColdSnap
P009,UPS 7Ah 12V,Industrial / UPS,L3,7,12,24,1650000,False,
P010,UPS 18Ah 12V,Industrial / UPS,L3,18,12,24,2950000,False,
P011,UPS 100Ah 12V Industrial,Industrial / UPS,L3,100,12,36,9800000,False,
P012,Telecom 200Ah 2V Cell,Industrial / UPS,L3,200,2,60,3200000,False,
P013,Solar 100Ah 12V Deep-Cycle,Deep-Cycle / Solar,L4,100,12,24,9200000,False,PreNowruzTravel
P014,Solar 150Ah 12V Deep-Cycle,Deep-Cycle / Solar,L4,150,12,24,12500000,False,PreNowruzTravel
P015,Solar 200Ah 12V Deep-Cycle AGM,Deep-Cycle / Solar,L4,200,12,36,18400000,False,
P016,Marine 100Ah 12V Dual-Purpose,Deep-Cycle / Solar,L4,100,12,24,10100000,False,PreNowruzTravel
P017,Golf-Cart 220Ah 6V Deep-Cycle,Deep-Cycle / Solar,L4,220,6,24,11300000,False,
